variance;skewness;curtosis;entropy;class
17.939;-11.174;15.454;-0.26079;0
54.021;31.039;-11.536;15.651;0
25.367;2.599;20.938;0.20085;0
46.054;-40.765;27.587;0.31981;0
24.235;95.332;-30.789;-27.746;0
10.009;77.846;-0.28219;-26.608;0
0.12326;89.848;-0.9351;-24.332;0
39.529;-23.548;23.792;0.48274;0
41.373;0.49248;1.093;18.276;0
47.181;100.153;-39.486;-38.582;0
41.654;-34.495;3.643;10.879;0
44.069;109.072;-45.775;-44.271;0
23.066;35.364;0.57551;0.41938;0
37.935;79.853;-25.477;-1.872;0
0.049175;61.437;17.828;-0.72113;0
0.24835;76.439;0.9885;-0.87371;0
11.317;39.647;33.979;0.84351;0
28.033;90.862;-33.668;-10.224;0
44.682;22.907;0.95766;0.83058;0
50.185;85.978;-29.375;-1.281;0
18.664;77.763;-0.23849;-29.634;0
3.245;Haz.63;-0.63435;0.86937;0
40.296;26.756;0.80685;0.71679;0
-11.313;19.037;75.339;1.022;0
0.87603;68.141;0.84198;-0.17156;0
41.197;-27.956;20.707;0.67412;0
38.027;0.81529;21.041;10.245;0
14.806;76.377;-27.876;-10.341;0
40.632;3.584;0.72545;0.39481;0
43.064;82.068;-27.824;-14.336;0
24.486;-63.175;79.632;0.20602;0
32.718;17.837;21.161;0.61334;0
-0.64472;-46.062;8.347;-27.099;0
29.543;1.076;0.64577;0.89394;0
21.616;-68.804;81.517;-0.081048;0
Mar.82;109.279;-40.112;-50.284;0
-27.419;114.038;25.394;-55.793;0
33.669;-51.856;36.935;-11.427;0
45.597;-24.211;26.413;16.168;0
51.129;-0.49871;0.62863;11.189;0
33.397;-46.145;39.823;-0.23751;0
42.027;0.22761;0.96108;0.97282;0
35.438;12.395;1.997;21.547;0
23.136;106.651;-35.288;-47.672;0
-18.584;7.886;-16.643;-18.384;0
3.106;95.414;-42.536;-4.003;0
29.163;108.306;-33.437;-4.122;0
39.922;-44.676;37.304;-0.1095;0
1.518;56.946;0.094818;-0.026738;0
32.351;9.647;-32.074;-25.948;0
42.188;68.162;-12.804;0.76076;0
17.819;69.176;-12.744;-15.759;0
25.331;29.135;-0.822;-0.12243;0
38.969;74.163;-18.245;0.14007;0
2.108;67.955;-0.1708;0.4905;0
28.969;0.70768;�ub.29;18.663;0
0.9297;-37.971;46.429;-0.2957;0
34.642;106.878;-34.071;-4.109;0
40.713;104.023;-41.722;-47.582;0
-14.572;91.214;17.425;-51.241;0
-15.075;19.224;71.466;0.89136;0
-0.91718;99.884;11.804;-52.263;0
2.994;72.011;-12.153;0.3211;0
-2.343;129.516;33.285;-59.426;0
37.818;-28.846;22.558;-0.15734;0
46.689;13.098;0.055404;1.909;0
34.663;11.112;17.425;13.388;0
32.697;-43.414;36.884;-0.29829;0
51.302;86.703;-28.913;-15.086;0
20.139;61.416;0.37929;0.56938;0
0.4339;55.395;2.033;-0.40432;0
-10.401;93.987;0.85998;-53.336;0
41.605;112.196;-36.136;-40.819;0
5.438;94.669;-49.417;-39.202;0
5.032;82.026;-26.256;-10.341;0
52.418;105.388;-41.174;-42.797;0
-0.2062;92.207;-37.044;-68.103;0
20.911;0.94358;45.512;1.234;0
17.317;-0.34765;41.905;-0.99138;0
41.736;33.336;-14.244;0.60429;0
39.232;-32.467;34.579;0.83705;0
38.481;101.539;-38.561;-42.228;0
0.5195;-32.633;30.895;-0.9849;0
38.584;0.78425;11.033;17.008;0
17.496;-0.1759;51.827;12.922;0
36.277;0.9829;0.68861;0.63403;0
27.391;74.018;0.071684;-25.302;0
45.447;82.274;-24.166;-15.875;0
-17.599;119.211;26.756;-33.241;0
50.691;0.21313;0.20278;12.095;0
34.591;11.112;-42.039;-50.931;0
19.358;81.654;-0.023425;-22.586;0
2.486;-0.99533;53.404;-0.15475;0
24.226;-45.752;5.947;0.21507;0
39.479;-37.723;2.883;0.019813;0
22.634;-44.862;36.558;-0.61251;0
13.566;42.358;21.341;0.3211;0
50.452;38.964;-14.304;0.86291;0
35.499;86.165;-32.794;-12.009;0
0.17346;78.695;0.26876;-37.883;0
24.008;93.593;-33.565;-33.526;0
48.851;15.995;-0.00029081;16.401;0
41.927;-32.674;25.839;0.21766;0
11.166;86.496;-0.96252;-18.112;0
10.235;6.901;-20.062;-27.125;0
-1.803;118.818;20.458;-52.728;0
0.11739;62.761;-15.495;-24.746;0
0.5706;-0.0248;12.421;-0.5621;0
40.552;-24.583;22.806;10.323;0
-16.952;10.657;88.294;0.94955;0
-11.193;107.271;20.938;-56.504;0
18.799;24.707;24.931;0.37671;0
3.583;-37.971;34.391;-0.12501;0
0.19081;91.297;-3.725;-58.224;0
36.582;56.864;-17.157;-0.23751;0
-0.13144;-17.775;83.316;0.35214;0
23.925;9.798;-30.361;-28.224;0
16.426;30.149;0.22849;-0.147;0
-0.11783;-15.789;8.Mar;-0.028031;0
-0.69572;86.165;18.419;-43.289;0
29.421;74.101;-0.97709;-0.88406;0
-17.559;119.459;30.946;-48.978;0
-12.537;108.803;1.931;-43.237;0
32.585;-44.614;38.024;-0.15087;0
18.314;63.672;-0.036278;0.049554;0
45.645;-36.275;28.684;0.27714;0
27.365;-50.325;66.608;-0.57889;0
0.9297;-37.971;46.429;-0.2957;0
39.663;101.684;-41.131;-46.056;0
14.578;-0.08485;41.785;0.59136;0
48.272;30.687;0.68604;0.80731;0
-2.341;123.784;0.70403;-75.836;0
-18.584;7.886;-16.643;-18.384;0
41.454;7.257;-19.153;-0.86078;0
19.157;60.816;0.23705;-20.116;0
40.215;-21.914;24.648;11.409;0
58.862;58.747;-28.167;-0.30087;0
-20.897;108.265;23.603;-34.198;0
40.026;-35.943;35.573;0.26809;0
-0.78689;95.663;-37.867;-75.034;0
41.757;102.615;-38.552;-43.056;0
0.83292;75.404;0.65005;-0.92544;0
48.077;22.327;-0.26334;15.534;0
53.063;52.684;-28.904;-0.52716;0
25.605;92.683;-35.913;-1.356;0
21.059;76.046;-0.47755;-18.461;0
21.721;-0.73874;54.672;-0.72371;0
42.899;91.814;-46.067;-43.263;0
35.156;101.891;-42.759;-4.978;0
2.614;80.081;-37.258;-13.069;0
0.68087;23.259;49.085;0.54998;0
41.962;0.74493;0.83256;0.753;0
60.919;29.673;-13.267;14.551;0
13.234;32.964;0.2362;-0.11984;0
13.264;10.326;56.566;-0.41337;0
-0.16735;76.274;12.061;-36.241;0
-1.3;102.678;-2.953;-58.638;0
-22.261;125.398;29.438;-35.258;0
24.196;64.665;-0.75688;0.228;0
10.987;0.6394;5.989;-0.58277;0
46.464;105.326;-45.852;-4.206;0
-0.36038;41.158;31.143;-0.37199;0
13.562;32.136;43.465;0.78662;0
0.5706;-0.0248;12.421;-0.5621;0
-26.479;101.374;-1.331;-54.707;0
31.219;-3.137;19.259;-0.37458;0
54.944;15.478;0.041694;19.284;0
-13.389;1.552;70.806;1.031;0
-23.361;119.604;30.835;-54.435;0
22.596;-0.033118;47.355;-0.2776;0
0.46901;-0.63321;73.848;0.36507;0
27.296;28.701;0.51124;0.5099;0
20.466;2.Mar;21.761;-0.083634;0
-13.274;9.498;24.408;-52.689;0
38.905;-21.521;26.302;11.047;0
39.994;0.90427;11.693;16.892;0
23.952;95.083;-31.783;-30.086;0
32.704;69.321;-10.456;0.23447;0
-13.931;15.664;75.382;0.78403;0
16.406;35.488;13.964;-0.36424;0
27.744;68.576;-10.671;0.075416;0
24.287;93.821;-32.477;-14.543;0
42.134;-2.806;20.116;0.67412;0
16.472;0.48213;47.449;1.225;0
20.597;-0.99326;52.119;-0.29312;0
0.3798;0.7098;0.7572;-0.4444;0
10.135;84.551;-1.672;-20.815;0
45.691;-44.552;31.769;0.0042961;0
0.57461;101.105;-16.917;-43.922;0
0.5734;91.938;-0.9094;-1.872;0
52.868;3.257;-13.721;11.668;0
40.102;106.568;-41.388;-50.646;0
41.425;-36.792;38.281;16.297;0
30.934;-29.177;22.232;0.22283;0
22.034;59.947;0.53009;0.84998;0
3.744;0.79459;0.95851;10.077;0
30.329;22.948;21.135;0.35084;0
37.731;72.073;-16.814;-0.94742;0
31.557;28.908;0.59693;0.79825;0
18.114;76.067;-0.9788;-24.668;0
4.988;72.052;-32.846;-11.608;0
2.483;66.155;-0.79287;-0.90863;0
1.594;47.055;13.758;0.081882;0
-0.016103;97.484;0.15394;-16.134;0
38.496;97.939;-41.508;-44.582;0
0.9297;-37.971;46.429;-0.2957;0
49.342;24.107;-0.17594;16.245;0
38.417;100.215;-42.699;-49.159;0
53.915;99.946;-38.081;-33.642;0
44.072;-0.070365;20.416;11.319;0
26.946;67.976;-0.40301;0.44912;0
52.756;0.13863;0.12138;11.435;0
34.312;62.637;-19.513;-0.36165;0
4.052;-0.16555;0.45383;0.51248;0
13.638;-47.759;84.182;-18.836;0
0.89566;77.763;-27.473;-19.353;0
19.265;77.557;-0.16823;-30.771;0
0.20977;-0.46146;77.267;0.90946;0
4.068;-29.363;21.992;0.50084;0
2.877;-40.599;36.259;-0.32544;0
0.3223;-0.89808;80.883;0.69222;0
-1.3;102.678;-2.953;-58.638;0
17.747;-64.334;A�u.15;-0.89828;0
13.419;-44.221;8.Eyl;-17.349;0
0.89606;105.471;-14.175;-40.327;0
0.44125;29.487;43.225;0.7155;0
32.422;62.265;0.12224;-14.466;0
25.678;35.136;0.61406;-0.40691;0
-22.153;119.625;0.078538;-77.853;0
41.349;61.189;-24.294;-0.19613;0
1.934;-9,28E-02;4.816;-0.33967;0
25.068;11.588;39.249;0.12585;0
21.464;60.795;-0.5778;-22.302;0
0.051979;70.521;-20.541;-31.508;0
12.706;8.035;-0.19651;-21.888;0
1.143;0.83391;54.552;-0.56984;0
22.928;90.386;-32.417;-12.991;0
0.3292;-44.552;45.718;-0.9888;0
29.719;68.369;-0.2702;0.71291;0
16.849;87.489;-12.641;-13.858;0
-19.177;116.894;25.454;-32.763;0
23.729;104.726;-30.087;-32.013;0
10.284;9.767;-13.687;-17.853;0
0.27451;92.186;-32.863;-48.448;0
16.032;-47.863;85.193;-21.203;0
4.616;101.788;-42.185;-44.245;0
42.478;76.956;-27.696;-10.767;0
40.215;-27.004;24.957;0.36636;0
50.297;-49.704;35.025;-0.23751;0
15.902;22.948;32.403;0.18404;0
21.274;51.939;-17.971;-11.763;0
11.811;83.847;-20.567;-0.90345;0
0.3292;-44.552;45.718;-0.9888;0
57.353;52.808;-22.598;0.075416;0
26.718;56.574;0.72974;-14.892;0
15.799;-47.076;79.186;-15.487;0
29.499;22.493;13.458;-0.037083;0
0.5195;-32.633;30.895;-0.9849;0
37.352;95.911;-39.032;-33.487;0
-17.344;20.175;77.618;0.93532;0
3.884;100.277;-39.298;-40.819;0
35.257;12.829;19.276;17.991;0
44.549;24.976;10.313;0.96894;0
-0.16108;-64.624;83.573;-15.216;0
42.164;94.607;-49.288;-52.366;0
35.152;68.224;-0.67377;-0.46898;0
16.988;29.094;29.044;0.11033;0
10.607;24.542;25.188;-0.17027;0
20.421;12.436;42.171;0.90429;0
35.594;13.078;1.291;16.556;0
30.009;58.126;-22.306;-0.66553;0
39.294;14.112;18.076;0.89782;0
34.667;-40.724;42.882;15.418;0
3.966;39.213;0.70574;0.33662;0
10.191;�ub.33;49.334;0.82929;0
0.96414;5.616;22.138;-0.12501;0
18.205;67.562;0.0099913;0.39481;0
49.923;78.653;-23.515;-0.71984;0
-11.804;115.093;0.15565;-68.194;0
40.329;0.23175;0.89082;11.823;0
0.66018;103.878;-14.029;-39.151;0
35.982;71.307;-13.035;0.21248;0
-18.584;7.886;-16.643;-18.384;0
40.972;0.46972;16.671;0.91593;0
33.299;0.91254;15.806;0.39352;0
31.088;31.122;0.80857;0.4336;0
-42.859;85.234;31.392;-0.91639;0
-12.528;102.036;21.787;-56.038;0
0.5195;-32.633;30.895;-0.9849;0
0.3292;-44.552;45.718;-0.9888;0
0.88872;53.449;2.045;-0.19355;0
35.458;93.718;-40.351;-39.564;0
-0.21661;80.329;18.848;-38.853;0
27.206;90.821;-33.111;-0.96811;0
32.051;86.889;-29.033;-0.7819;0
26.917;108.161;-3.3;-42.888;0
-23.242;115.176;18.231;-5.375;0
27.161;-42.006;41.914;0.16981;0
33.848;32.674;0.90967;0.25128;0
17.452;48.028;20.878;0.62627;0
2.805;0.57732;13.424;12.133;0
57.823;55.788;-24.089;-0.056479;0
38.999;1.734;16.011;0.96765;0
35.189;6.332;-17.791;-0.020273;0
32.294;77.391;-0.37816;-25.405;0
34.985;31.639;0.22677;-0.1651;0
21.948;13.781;11.582;0.85774;0
22.526;99.636;-31.749;-29.944;0
41.529;-39.358;28.633;-0.017686;0
0.74307;Kas.17;-13.824;-40.728;0
19.105;8.871;-23.386;-0.75604;0
-15.055;0.070346;68.681;-0.50648;0
0.58836;107.727;-13.884;-43.276;0
32.303;78.384;-35.348;-12.151;0
-19.922;116.542;26.542;-52.107;0
28.523;90.096;-3.761;-33.371;0
42.772;24.955;0.48554;0.36119;0
15.099;0.039307;62.332;-0.30346;0
54.188;101.457;-4.084;-36.991;0
0.86202;26.963;42.908;0.54739;0
38.117;101.457;-40.463;-45.629;0
0.54777;103.754;-15.435;-41.633;0
23.718;74.908;0.015989;-17.414;0
-24.953;111.472;19.353;-34.638;0
46.361;-26.611;28.358;11.991;0
-22.527;115.321;25.899;-32.737;0
37.982;10.423;-41.602;-49.728;0
-0.36279;82.895;-19.213;-33.332;0
21.265;68.783;0.44784;-22.224;0
0.86736;55.643;16.765;-0.16769;0
37.831;100.526;-38.869;-37.366;0
-22.623;121.177;0.28846;-77.581;0
12.616;44.303;-13.335;-17.517;0
26.799;31.349;0.34073;0.58489;0
-0.39816;59.781;13.912;-11.621;0
43.937;0.35798;20.416;12.004;0
29.695;56.222;0.27561;-11.556;0
13.049;-0.15521;64.911;-0.75346;0
22.123;-58.395;77.687;-0.85302;0
19.647;69.383;0.57722;0.66377;0
30.864;-25.845;22.309;0.30947;0
0.3798;0.7098;0.7572;-0.4444;0
0.58982;74.266;12.353;-29.595;0
0.14783;7.946;10.742;-33.409;0
-0.062025;61.975;1.099;-1.131;0
4.223;11.319;0.72202;0.96118;0
0.64295;71.018;0.3493;-0.41337;0
1.941;0.46351;46.472;10.879;0
40.047;0.45937;13.621;16.181;0
37.767;97.794;-39.075;-35.323;0
34.769;-0.15314;�ub.53;24.495;0
19.818;92.621;-3.521;-1.872;0
38.023;-38.696;4.044;0.95343;0
43.483;111.079;-40.857;-42.539;0
11.518;13.864;52.727;-0.43536;0
-12.576;15.892;70.078;0.42455;0
19.572;-51.153;86.127;-14.297;0
-2.484;121.611;28.204;-37.418;0
-11.497;12.954;7.701;0.62627;0
48.368;100.132;-43.239;-43.276;0
-0.12196;88.068;0.94566;-42.267;0
19.429;63.961;0.092248;0.58102;0
1.742;-4.809;82.142;-20.659;0
-15.222;108.409;27.827;-40.974;0
-1.3;102.678;-2.953;-58.638;0
34.246;-0.14693;0.80342;0.29136;0
25.503;-49.518;63.729;-0.41596;0
15.691;63.465;-0.1828;-24.099;0
13.087;49.228;20.013;0.22024;0
51.776;82.316;-32.511;-15.694;0
2.229;96.325;-31.123;-27.164;0
56.272;100.857;-42.931;-38.142;0
12.138;87.986;-21.672;-0.74182;0
0.3798;0.7098;0.7572;-0.4444;0
0.5415;60.319;16.825;-0.46122;0
40.524;56.802;-19.693;0.026279;0
47.285;21.065;-0.28305;15.625;0
34.359;0.66216;21.041;18.922;0
0.86816;102.429;-14.912;-40.082;0
3.359;98.022;-38.209;-37.133;0
36.702;29.942;0.85141;0.30688;0
13.349;61.189;0.46497;0.49826;0
31.887;-34.143;27.742;-0.2026;0
24.527;29.653;0.20021;-0.056479;0
39.121;29.735;0.92852;0.60558;0
39.364;105.885;-3.725;-43.133;0
39.414;-32.902;31.674;10.866;0
36.922;-39.585;43.439;13.517;0
5.681;7.795;-26.848;-0.92544;0
0.77124;90.862;-12.281;-14.996;0
35.761;97.753;-39.795;-34.638;0
1.602;61.251;0.52924;0.47886;0
26.682;10.216;-34.414;-40.069;0
20.007;18.644;26.491;0.47369;0
0.64215;31.287;42.933;0.64696;0
43.848;-30.729;30.423;12.741;0
0.77445;90.552;-24.089;-13.884;0
0.96574;8.393;-1.361;-14.659;0
30.948;87.324;-29.007;-0.96682;0
49.362;76.046;-23.429;-0.85302;0
-19.458;112.217;19.079;-34.405;0
57.403;-0.44284;0.38015;13.763;0
-26.989;121.984;0.67661;-85.482;0
11.472;35.985;19.387;-0.43406;0
29.742;A�u.96;-29.024;-10.379;0
45.707;72.094;-32.794;-14.944;0
0.1848;65.079;20.133;-0.87242;0
0.87256;92.931;-0.7843;-21.978;0
0.39559;68.866;10.588;-0.67587;0
38.384;61.851;-20.439;-0.033204;0
28.209;73.108;-0.81857;-18.784;0
25.817;97.546;-31.749;-29.957;0
38.213;0.23175;20.133;20.564;0
0.3798;0.7098;0.7572;-0.4444;0
34.893;Haz.69;-12.042;-0.38751;0
-17.781;0.8546;71.303;0.027572;0
20.962;24.769;19.379;-0.040962;0
0.94732;-0.57113;71.903;-0.67587;0
28.261;94.007;-33.034;-10.509;0
0.0071249;83.661;0.50781;-38.155;0
0.96788;71.907;12.798;-24.565;0
47.432;21.086;0.1368;16.543;0
36.575;72.797;-22.692;-1.144;0
38.832;64.023;-2.432;-0.98363;0
34.776;8.811;-31.886;-0.92285;0
11.315;79.212;1.093;-28.444;0
28.237;28.597;0.19678;0.57196;0
19.321;60.423;0.26019;-2.053;0
30.632;-33.315;51.305;0.8267;0
-18.411;108.306;2.769;-30.901;0
28.084;113.045;-33.394;-44.194;0
25.698;-44.076;59.856;0.078002;0
-0.12624;103.216;-37.121;-61.185;0
33.756;-40.951;4.367;10.698;0
-0.048008;-16.037;84.756;0.75558;0
0.5706;-0.0248;12.421;-0.5621;0
0.88444;65.906;0.55837;-0.44182;0
38.644;37.061;0.70403;0.35214;0
12.999;25.762;20.107;-0.18967;0
20.051;-68.638;8.132;-0.2401;0
49.294;0.27727;0.20792;0.33662;0
28.297;63.485;-0.73546;-0.58665;0
2.565;8.633;-29.941;-13.082;0
2.093;83.061;0.022844;-32.724;0
46.014;56.264;-21.235;0.19309;0
50.617;-0.35799;0.44698;0.99868;0
-0.2951;90.489;-0.52725;-20.789;0
3.577;24.004;18.908;0.73231;0
39.433;25.017;15.215;0.903;0
26.648;10.754;-33.994;-41.685;0
59.374;61.664;-25.905;-0.36553;0
20.153;18.479;31.375;0.42843;0
58.782;59.409;-28.544;-0.60863;0
-23.983;12.606;29.464;-57.888;0
1.762;43.682;21.384;0.75429;0
42.406;-24.852;1.608;0.7155;0
34.669;Haz.87;-10.568;-0.73147;0
31.896;57.526;-0.18537;-0.30087;0
0.81356;91.566;-21.492;-41.814;0
0.52855;0.96427;40.243;-10.483;0
21.319;-20.403;25.574;-0.061652;0
0.33111;45.731;2.057;-0.18967;0
12.746;88.172;-15.323;-17.957;0
22.091;74.556;-13.284;-33.021;0
25.328;7.528;-0.41929;-26.478;0
36.244;14.609;13.501;19.284;0
-13.885;125.026;0.69118;-75.487;0
57.227;58.312;-24.097;-0.24527;0
33.583;103.567;-37.301;-36.991;0
25.227;22.369;27.236;0.79438;0
0.045304;67.334;10.708;-0.9332;0
48.278;77.598;-24.491;-12.216;0
19.476;-47.738;8.527;-18.668;0
27.659;0.66216;41.494;-0.28406;0
-0.10648;-0.76771;77.575;0.64179;0
0.72252;-0.053811;56.703;-13.509;0
42.475;14.816;-0.48355;0.95343;0
39.772;0.33521;22.566;21.625;0
36.667;4.302;0.55923;0.33791;0
28.232;108.513;-31.466;-39.784;0
-14.217;116.542;-0.057699;-71.025;0
42.458;11.981;0.66633;0.94696;0
41.038;-48.069;33.491;-0.49225;0
14.507;87.903;-22.324;-0.65259;0
34.647;-39.172;39.746;0.36119;0
18.533;61.458;10.176;-20.401;0
35.288;0.71596;19.507;19.375;0
39.719;10.367;0.75973;10.013;0
3.534;93.614;-36.316;-12.461;0
36.894;9.887;-40.788;-43.664;0
30.672;-44.117;38.238;-0.81682;0
26.463;-48.152;63.549;0.003003;0
22.893;3.733;0.6312;-0.39786;0
15.673;79.274;-0.056842;-21.694;0
40.405;0.51524;10.279;1.106;0
43.846;-48.794;33.662;-0.029324;0
20.165;-0.25246;51.707;10.763;0
40.446;111.741;-43.582;-47.401;0
-0.33729;-0.64976;76.659;0.72326;0
-24.604;127.302;0.91738;-76.418;0
41.195;109.258;-38.929;-41.802;0
20.193;0.82356;46.369;14.202;0
15.701;79.129;0.29018;-21.953;0
26.415;7.586;-0.28562;-16.677;0
50.214;80.764;-30.515;-17.155;0
43.435;33.295;0.83598;0.64955;0
18.238;-67.748;83.873;-0.54139;0
39.382;0.9291;0.78543;0.6767;0
22.517;-51.422;42.916;-12.487;0
5.504;103.671;-4.413;-40.211;0
28.521;9.171;-36.461;-12.047;0
11.676;91.566;-20.867;-0.80647;0
26.104;80.081;-0.23592;-17.608;0
0.32444;10.067;-11.982;-41.284;0
38.962;-47.904;33.954;-0.53751;0
21.752;-0.8091;51.022;-0.67975;0
11.588;89.331;-20.807;-11.272;0
47.072;82.957;-25.605;-14.905;0
-19.667;118.052;-0.40472;-78.719;0
40.552;0.40143;14.563;0.65343;0
23.678;-6.839;84.207;-0.44829;0
0.33565;68.369;0.69718;-0.55691;0
43.398;-53.036;38.803;-0.70432;0
15.456;85.482;0.4187;-21.784;0
14.276;83.847;-20.995;-19.677;0
-0.27802;81.881;-31.338;-25.276;0
0.93611;86.413;-16.351;-13.043;0
46.352;-30.087;26.773;1.212;0
15.268;-55.871;86.564;-1.722;0
0.95626;24.728;44.578;0.21636;0
-27.914;17.734;67.756;-0.39915;0
52.032;35.116;-12.538;10.129;0
31.836;72.321;-10.713;-25.909;0
0.65497;51.815;10.673;-0.42113;0
56.084;103.009;-48.003;-43.534;0
1.105;74.432;0.41099;-30.332;0
39.292;-29.156;22.129;0.30817;0
11.558;64.003;15.506;0.6961;0
25.581;26.218;18.513;0.40257;0
27.831;109.796;-3.557;-44.039;0
37.635;27.811;0.66119;0.34179;0
-26.479;101.374;-1.331;-54.707;0
10.652;83.682;-14.004;-16.509;0
-14.275;118.797;0.41613;-69.978;0
57.456;101.808;-47.857;-43.366;0
5.086;32.798;-12.701;11.189;0
34.092;54.049;-25.228;-0.89958;0
-0.2361;93.221;21.307;-43.793;0
38.197;89.951;-4.383;-40.327;0
-11.391;18.127;69.144;0.70127;0
49.249;0.68906;0.77344;12.095;0
25.089;6.841;-0.029423;0.44912;0
-0.2062;92.207;-37.044;-68.103;0
3.946;68.514;-15.443;-0.5582;0
-0.278;81.881;-31.338;-25.276;0
18.592;32.074;-0.15966;-0.26208;0
0.56953;76.294;15.754;-32.233;0
34.626;-4.449;35.427;0.15429;0
33.951;11.484;21.401;20.862;0
50.429;-0.52974;0.50439;1.106;0
37.758;71.783;-15.195;0.40128;0
46.562;76.398;-24.243;-12.384;0
40.948;-29.674;23.689;0.75429;0
18.384;6.063;0.54723;0.51248;0
20.153;0.43661;45.864;-0.3151;0
35.251;0.7201;16.928;0.64438;0
3.757;-54.236;38.255;-12.526;0
25.989;35.178;0.7623;0.81119;0
18.994;0.97462;42.265;0.81377;0
36.941;-39.482;42.625;11.577;0
44.295;-23.507;17.048;0.90946;0
68.248;52.187;-25.425;0.5461;0
18.967;-25.163;28.093;-0.79742;0
21.526;-61.665;80.831;-0.34355;0
33.004;70.811;-13.258;0.22283;0
27.213;7.May;-0.58808;0.41809;0
38.846;-30.336;25.334;0.20214;0
41.665;-0.4449;0.23448;0.27843;0
0.94225;58.561;18.762;-0.32544;0
51.321;-0.031048;0.32616;11.151;0
0.38251;68.121;18.128;-0.61251;0
30.333;-25.928;23.183;0.303;0
29.233;60.464;-0.11168;-0.58665;0
1.162;102.926;-12.821;-40.392;0
37.791;25.762;13.098;0.5655;0
0.77765;59.781;11.941;-0.3526;0
-0.38388;-10.471;80.514;0.49567;0
0.21084;94.359;-0.094543;-1.859;0
29.571;-45.938;59.068;0.57196;0
46.439;-33.729;25.976;0.55257;0
33.577;-43.062;60.241;0.18274;0
35.127;29.073;10.579;0.40774;0
26.562;107.044;-33.085;-40.767;0
-13.612;10.694;17.022;-29.026;0
-0.278;81.881;-31.338;-25.276;0
1.Nis;-69.321;82.888;-12.991;0
21.881;27.356;13.278;-0.1832;0
42.756;-26.528;21.375;0.94437;0
-0.11996;68.741;0.91995;-0.6694;0
29.736;87.944;-36.359;-13.754;0
37.798;-33.109;26.491;0.066365;0
53.586;37.557;-17.345;10.789;0
18.373;61.292;0.84027;0.55257;0
12.262;0.89599;57.568;-0.11596;0
-0.048008;-0.56078;77.215;0.453;0
0.5706;-0.024841;12.421;-0.56208;0
43.634;0.46351;14.281;20.202;0
3.482;-41.634;35.008;-0.078462;0
0.51947;-32.633;30.895;-0.98492;0
23.164;-2.628;31.529;-0.08622;0
-18.348;110.334;31.863;-48.888;0
13.754;88.793;-19.136;-0.53751;0
-0.16682;58.974;0.49839;-0.70044;0
0.29961;71.328;-0.31475;-11.828;0
0.25035;93.262;-36.873;-62.543;0
24.673;13.926;17.125;0.41421;0
0.77805;66.424;-11.425;-10.573;0
34.465;29.508;10.271;0.5461;0
